BRAND,MODEL,SIZE,YEAR,IMAGE_URL
Apple,iPad 9th Gen,,,https://static.swappa.com/images/cache/2a/79/2a791a72045a97fceedd954edfc43cba.png
Apple,iPad 10th Gen,,,https://static.swappa.com/images/cache/1a/23/1a23e88b1344b63f474f7e974c4d1ce8.png
Apple,iPad Air 2,,,https://static.swappa.com/images/cache/eb/58/eb5883d8dbc048f9313cec3c75403d90.png
Apple,iPad Pro (M4),"13""",2024,https://static.swappa.com/images/cache/a1/a6/a1a6ea6be7f8399aafca953c6f499438.png
Apple,iPad 11th Gen,,,https://static.swappa.com/images/cache/a6/8f/a68feb3ab8199fe1f5e7c1901316f542.png
Apple,iPad 8th Gen,,,https://static.swappa.com/images/cache/ed/24/ed24e29bba78999d5bff95eda234bc03.png
Apple,iPad 6th Gen,,,https://static.swappa.com/images/cache/96/0a/960af9a995f54a9cdc8a1d5f77c71ac5.png
Apple,iPad 7th Gen,,,https://static.swappa.com/images/cache/17/7b/177b37f00f1461b4479f01b2f69f6e0c.png
Apple,iPad Air 5th Gen,,,https://static.swappa.com/images/cache/18/8b/188bd3063082ec3211b57c2f4ef73da2.png
Apple,iPad Mini 6th Gen,,,https://static.swappa.com/images/cache/3c/c7/3cc710eccd2dc0eec6c012380746eb39.png
Apple,iPad Pro 5th Gen,"12.9""",2021,https://static.swappa.com/images/cache/45/8c/458c03042a6031bbd8fd409fc0425815.png
Samsung,Galaxy Tab E,"8.0""",,https://static.swappa.com/images/cache/6d/15/6d15e3e369876a20d69f92f668a843d2.png
Apple,iPad Pro,"11""",2018,https://static.swappa.com/images/cache/1a/1d/1a1db771b2834de93e760168e00c9477.png
Apple,iPad Pro 4th Gen,"12.9""",2020,https://static.swappa.com/images/cache/93/cb/93cb624ad935736f94a947c18101a1dd.png
Apple,iPad Pro 3rd Gen,"11""",2021,https://static.swappa.com/images/cache/bd/78/bd78193fbdb635774f239f1c1616671f.png
Samsung,Galaxy Tab A9 Plus,,,https://static.swappa.com/images/cache/b9/53/b95313b54925d0b0d0a2b72cb4af49db.png
Apple,iPad Pro 6th Gen,"12.9""",2022,https://static.swappa.com/images/cache/6f/e5/6fe5c218e8cd1cab694a3a676a7a09a1.png
Google,Pixel Slate,,,https://static.swappa.com/images/cache/6c/81/6c81d60bd4be882ef0fb017bf417688c.png
Apple,iPad Pro (M4),"11""",2024,https://static.swappa.com/images/cache/53/43/53433242cbd8f8cc129ff822b60e5c83.png
Apple,iPad 5th Gen,,,https://static.swappa.com/images/cache/6e/43/6e43da44fb287bd2720688d9d6d3ecb9.png
Apple,iPad Mini 7th Gen,,,https://static.swappa.com/images/cache/9f/05/9f057341f2e9f81dee928198820ea7d1.png
Microsoft Surface,Go 2,,,https://static.swappa.com/images/cache/d3/77/d377be27d01b103b93dc2217e1393a2b.png
Apple,iPad Air (M2),"11""",2024,https://static.swappa.com/images/cache/c0/fe/c0fe5829e05cefc823669fc6144f03a1.png
Samsung,Galaxy Tab S9 FE,,,https://static.swappa.com/images/cache/97/22/9722d25fe4e3bff6a96fe1b5bf570b35.png
Samsung,Galaxy Tab A7 Lite,,,https://static.swappa.com/images/cache/81/61/81616aa404d007387bc7f25b2b8dea1a.png
Apple,iPad Air (M3),"11""",2025,https://static.swappa.com/images/cache/e1/f7/e1f71eb4bdcf2ad3a05c96b94bc73817.png
Samsung,Galaxy Tab S9 Ultra,,,https://static.swappa.com/images/cache/b8/d9/b8d98195338c8d6710912925eda9e627.png
Apple,iPad Air 4th Gen,,,https://static.swappa.com/images/cache/33/8b/338be88405f16c6dd32916910ab50634.png
Apple,iPad Pro,"9.7""",,https://static.swappa.com/images/cache/14/97/14976273fffd65831fe1fdd09244d392.png
Apple,iPad Air,,,https://static.swappa.com/images/cache/e4/a4/e4a42f2a249021fbbbce71eed0139c1e.png
Samsung,Galaxy Tab Active2,"8.0""",,https://static.swappa.com/images/cache/26/e2/26e20e0cd37de40438105b3e45c0fb09.png
Apple,iPad Pro,"10.5""",,https://static.swappa.com/images/cache/aa/8f/aa8ff1fb82cdc799c1a5469ffdbb1a63.png
Apple,iPad Pro 2nd Gen,"11""",2020,https://static.swappa.com/images/cache/77/ac/77ac7abe4d910f7cb673ee9a759eed12.png
Apple,iPad Pro 4th Gen,"11""",2022,https://static.swappa.com/images/cache/fc/75/fc75987b65816df1c16b0d0e40fda2e9.png
Apple,iPad Mini 4,,,https://static.swappa.com/images/cache/18/cd/18cd421b09df21f97017797121d66352.png
Apple,iPad Mini 5th Gen,,,https://static.swappa.com/images/cache/e8/7a/e87a8adcb8bded0d1de05f003afc8ef6.png
Apple,iPad Pro 1st Gen,"12.9""",2015,https://static.swappa.com/images/cache/b2/06/b2062e6903389eed1c499ad65693e039.png
Microsoft Surface,Go 3,,,https://static.swappa.com/images/cache/da/db/dadb844207c1575809e6b710b8e10981.png
Apple,iPad Mini 2 Retina,,,https://static.swappa.com/images/cache/f9/b9/f9b9c8a7c7ed7d9a4d31873492dddf13.png
Apple,Pencil 2nd Gen,,,https://static.swappa.com/images/cache/7a/11/7a11c6f08309d0b9dd50685102368321.png
Samsung,Galaxy Tab S10 Plus,,,https://static.swappa.com/images/cache/fd/10/fd10825941ac3b3ed6476e8201a6f902.png
Samsung,Galaxy Tab S9,,,https://static.swappa.com/images/cache/c3/d9/c3d95d910d54468ba9cb950118173bf6.png
Apple,iPad Air (M2),"13""",2024,https://static.swappa.com/images/cache/fe/69/fe694f952c04d0023de1e0d738ecfeb5.png
Samsung,Galaxy Tab S10 Ultra,,,https://static.swappa.com/images/cache/20/86/2086d6102477425e54f453c5f2008281.png
Apple,iPad Mini 3,,,https://static.swappa.com/images/cache/be/80/be8038c8caef6b6e305c4d311312a394.png
Samsung,Galaxy Tab S9 Plus FE,,,https://static.swappa.com/images/cache/ef/12/ef1208c677cdd6827181625226bcd5c2.png
Apple,iPad Pro 3rd Gen,"12.9""",2018,https://static.swappa.com/images/cache/a5/81/a5814d997524f33db84eee815857e4f0.png
Apple,iPad Mini,,,https://static.swappa.com/images/cache/9e/33/9e333fa3c9a54c576265891ce56327ea.png
Microsoft Surface,3,,,https://static.swappa.com/images/cache/37/2b/372b9cad3e9d3ce3a5f670f07d7dec84.png
Samsung,Galaxy Tab S8 Ultra,,,https://static.swappa.com/images/cache/23/8d/238d6526d4e01b2bbabbb96478a636d7.png
Samsung,Galaxy Tab S7 FE,,,https://static.swappa.com/images/cache/7b/84/7b84147a6b0cf0e7625b36d9cc02dd70.png
Samsung,Galaxy Tab A,"8.4""",2020,https://static.swappa.com/images/cache/c0/c0/c0c0e5b376848aaae2dbca5b370b0fcb.png
Samsung,Galaxy Tab S9 Plus,,,https://static.swappa.com/images/cache/c3/27/c3273c798522c500b30de945e010a43a.png
Apple,iPad Air 3rd Gen,,,https://static.swappa.com/images/cache/c2/34/c2349078ec04b7e8e799ffa19bf0c988.png
Apple,iPad Pro (M5),"11""",2025,https://static.swappa.com/images/cache/ef/b6/efb6bc99e7e945c666d0a3265d0e91b9.png
Apple,iPad Air (M3),"13""",2025,https://static.swappa.com/images/cache/ce/10/ce109890b1342864d503ed317b43f175.png
Samsung,Galaxy Tab A,"8""",2018,https://static.swappa.com/images/cache/3b/ce/3bceede8dbf252841b66e7e244dccf3c.png
Apple,Pencil Pro,,,https://static.swappa.com/images/cache/ee/fc/eefc5cc94c037aaec681234b63720476.png
Samsung,Galaxy Tab S7,,,https://static.swappa.com/images/cache/34/19/34194d6fd534744e4c57a03efcc9d06c.png
Samsung,Galaxy Tab S11,,,https://static.swappa.com/images/cache/58/e6/58e610253de5f8f1d92f716d96b4139c.png
Samsung,Galaxy Tab S2,"8.0""",,https://static.swappa.com/images/cache/aa/d7/aad7897ea34ffaed4e2cc587900b0e2c.png
Samsung,Galaxy Tab S11 Ultra,,,https://static.swappa.com/images/cache/05/80/0580fa048d9b3522bfd88a540de6f66d.png
Microsoft Surface,Go,,,https://static.swappa.com/images/cache/99/bb/99bba1b765623970f5bed7b7208e60e1.png
Samsung,Galaxy Tab E,"8.0""",2017,https://static.swappa.com/images/cache/8e/d0/8ed0aac9c970cc0861090f01f3f928b1.png
Apple,iPad 4,,,https://static.swappa.com/images/cache/3d/2f/3d2f4810dabf99348967c7d748f0e6f1.png
Google,Pixel Tablet,"11""",,https://static.swappa.com/images/cache/6a/bc/6abc497cc9a321c6f9b17028cd03f821.png
Samsung,Galaxy Tab S10 FE,,,https://static.swappa.com/images/cache/ea/69/ea691dd8211c098d23a8b165a784833c.png
Samsung,Galaxy Tab S6 Lite,,,https://static.swappa.com/images/cache/9d/ed/9ded8b5483692d41584d73071a4e72d8.png
Samsung,Galaxy Tab S7 Plus,,,https://static.swappa.com/images/cache/2c/a2/2ca23a7f4f1c042313f482b90f50a503.png
Samsung,Galaxy Tab Active3,,,https://static.swappa.com/images/cache/76/df/76df6ee90f2923e0c3de8b27bbafdb15.png
Samsung,Galaxy Tab S8,,,https://static.swappa.com/images/cache/18/de/18de45ac5336cba0fa8a0cdde1d61053.png
Samsung,Galaxy Tab A,"8.0""",2019,https://static.swappa.com/images/cache/30/f9/30f9ad6d0d5f44449dfd8a08389df78d.png
Samsung,Galaxy Tab S2,"9.7""",,https://static.swappa.com/images/cache/19/d6/19d62cffbf24b5aeff0e6736fed3e916.png
Apple,iPad Pro (M5),"13""",2025,https://static.swappa.com/images/cache/fc/04/fc04ae5dc6c3731054fc3818f29c86b2.png
Samsung,Galaxy Tab S8 Plus,,,https://static.swappa.com/images/cache/cf/ff/cffff6e111f7f1a978ff0986734f6c8a.png
Samsung,Galaxy Tab S,"8.4""",,https://static.swappa.com/images/cache/34/0c/340ca378cbbe822361f4ff66177eef49.png
Samsung,Galaxy Tab E,"9.6""",,https://static.swappa.com/images/cache/9f/57/9f57c26f157b952f3a164de4644be3ab.png
Apple,iPad Pro 2nd Gen,"12.9""",2017,https://static.swappa.com/images/cache/6d/74/6d741f0a492f5c8e93de18fdd0f47d75.png
Apple,Pencil 1st Gen,,,https://static.swappa.com/images/cache/dd/95/dd954de3d1ec8aec008ad18573f1a3a8.png
Samsung,Galaxy Tab 4,,,https://static.swappa.com/images/cache/43/28/43285fe71baf4139a486f2b01f9e54d1.png
Samsung,Galaxy Tab S6 Lite,,2024,https://static.swappa.com/images/cache/c6/77/c6779bc2d2b1f7fcff07e8f62b19dbe6.png
Apple,Pencil 3rd Gen (USB-C),,,https://static.swappa.com/images/cache/05/72/0572441fb1a042fabdfb784f9f9e2ab0.png
Samsung,Galaxy View,,,https://static.swappa.com/images/cache/94/5c/945c235ad6999b9da6044282e6bf5938.png
